Roll No,Rank,Original_Category,Original_Category_Normalized,Assigned,Assigned_Post,Assigned_Category,Assigned_SubCategory,Assigned_Against
1107555,810,"SC,RG","SC,RG",True,POST-3,SC,GE,Vertical
1100320,811,BC,OBC,False,,,,
1102221,812,BC,OBC,False,,,,
1109856,813,ST,ST,True,POST-9,ST,GE,Vertical
1113847,814,BC,OBC,False,,,,
1110136,815,GE,GE,False,,,,
1112817,816,MB,MBC,True,POST-17,MBC,GE,Vertical
1116881,817,"BC,RG","OBC,RG",False,,,,
1108009,818,"BC,WE,NG,RG","OBC,WE,NG,RG",False,,,,
1117223,819,BC,OBC,False,,,,
1105322,820,"GE,RG","GE,RG",False,,,,
1100956,821,EWS,EWS,False,,,,
1103791,822,"EWS,RG","EWS,RG",False,,,,
1100230,823,"BC,WE,RG","OBC,WE,RG",False,,,,
1103792,824,SC,SC,True,POST-3,SC,GE,Vertical
1101285,825,"SC,WE,RG","SC,WE,RG",True,POST-3,SC,GE,Vertical
1117444,826,"BC,NG","OBC,NG",False,,,,
1101580,827,"GE,WE","GE,WE",False,,,,
1115956,828,"BC,NG,RG","OBC,NG,RG",False,,,,
1104352,829,"EWS,WE","EWS,WE",False,,,,
1106654,830,"EWS,WE,RG","EWS,WE,RG",False,,,,
1101198,831,"BC,SP","OBC,SP",False,,,,
1112926,832,EWS,EWS,False,,,,
1112723,833,BC,OBC,False,,,,
1117355,834,BC,OBC,False,,,,
1110969,835,BC,OBC,False,,,,
1103703,836,BC,OBC,False,,,,
1106901,837,SC,SC,True,POST-3,SC,GE,Vertical
1103034,838,SC,SC,True,POST-3,SC,GE,Vertical
1100697,839,BC,OBC,False,,,,
1101757,840,"SC,RG","SC,RG",True,POST-3,SC,GE,Vertical
1108341,841,ST,ST,True,POST-9,ST,GE,Vertical
1112486,842,"BC,WE,RG","OBC,WE,RG",False,,,,
1111803,843,BC,OBC,False,,,,
1111084,844,BC,OBC,False,,,,
1105207,845,"GE,WE","GE,WE",False,,,,
1103628,846,"EWS,WE","EWS,WE",False,,,,
1104164,847,"GE,RG","GE,RG",False,,,,
1106978,848,"GE,RG","GE,RG",False,,,,
1109191,849,GE,GE,False,,,,
1104449,850,"BC,RG","OBC,RG",False,,,,
1111711,851,"BC,RG","OBC,RG",False,,,,
1101374,852,"EWS,RG","EWS,RG",False,,,,
1101804,853,GE,GE,False,,,,
1101465,854,"BC,RG","OBC,RG",False,,,,
1111542,855,"MB,WE","MBC,WE",True,POST-9,MBC,"GE, WE",Vertical
1108154,856,BC,OBC,False,,,,
1115064,857,"BC,ME,NG,RG","OBC,ME,NG,RG",False,,,,
1100780,858,"BC,ME","OBC,ME",False,,,,
1100344,859,BC,OBC,False,,,,
1104455,860,"BC,RG","OBC,RG",False,,,,
1101082,861,BC,OBC,False,,,,
1113111,862,BC,OBC,False,,,,
1100799,863,"BC,WE,NG,RG","OBC,WE,NG,RG",False,,,,
1116768,864,"GE,WE,NG,RG","GE,WE,NG,RG",False,,,,
1118909,865,"EWS,RG","EWS,RG",False,,,,
1103655,866,"BC,WE","OBC,WE",False,,,,
1108274,867,"MB,RG","MBC,RG",True,POST-17,MBC,GE,Vertical
1110889,868,"BC,WE","OBC,WE",False,,,,
1101981,869,BC,OBC,False,,,,
1117486,870,"BC,RG","OBC,RG",False,,,,
1101294,871,BC,OBC,False,,,,
1101543,872,BC,OBC,False,,,,
1108722,873,BC,OBC,False,,,,
1101876,874,"BC,ME,NG,RG","OBC,ME,NG,RG",False,,,,
1118655,875,BC,OBC,False,,,,
1102489,876,"BC,WE,RG","OBC,WE,RG",False,,,,
1104350,877,BC,OBC,False,,,,
1103321,878,"EWS,RG","EWS,RG",False,,,,
1113998,879,"EWS,NG,RG","EWS,NG,RG",False,,,,
1106593,880,EWS,EWS,False,,,,
1100138,881,BC,OBC,False,,,,
1120383,882,"EWS,TSP-UR","EWS,TSP-UR",False,,,,
1110452,883,BC,OBC,False,,,,
1112670,884,GE,GE,False,,,,
1111355,885,"GE,NG","GE,NG",False,,,,
1103714,886,"EWS,ME,NG,RG","EWS,ME,NG,RG",False,,,,
1101491,887,EWS,EWS,False,,,,
1112432,888,"EWS,WE,RG","EWS,WE,RG",False,,,,
1105641,889,GE,GE,False,,,,
1117362,890,BC,OBC,False,,,,
1114639,891,"GE,WE","GE,WE",False,,,,
1107832,892,"GE,WE,RG","GE,WE,RG",False,,,,
1107221,893,"BC,WE","OBC,WE",False,,,,
1102074,894,BC,OBC,False,,,,
1106578,895,ST,ST,True,POST-9,ST,GE,Vertical
1108036,896,"GE,WE","GE,WE",False,,,,
1106991,897,"MB,ME,RG","MBC,ME,RG",True,POST-17,MBC,GE,Vertical
1113374,898,"BC,WE","OBC,WE",False,,,,
1111019,899,"GE,WE","GE,WE",False,,,,
1111305,900,"EWS,WE","EWS,WE",False,,,,
1104503,901,"BC,WE,RG","OBC,WE,RG",False,,,,
1106412,902,"GE,WE","GE,WE",False,,,,
1101641,903,"BC,WE,RG","OBC,WE,RG",False,,,,
1112675,904,MB,MBC,True,POST-17,MBC,GE,Vertical
1102352,905,BC,OBC,False,,,,
1102430,906,"SC,WE","SC,WE",True,POST-3,SC,GE,Vertical
1106612,907,BC,OBC,False,,,,
1113803,908,BC,OBC,False,,,,
1111295,909,BC,OBC,False,,,,
1105557,910,"EWS,WE","EWS,WE",False,,,,
1109071,911,"GE,WE","GE,WE",False,,,,
1110190,912,"ST,WE,RG","ST,WE,RG",True,POST-3,ST,"GE, WE",Vertical
1102272,913,MB,MBC,True,POST-19,MBC,GE,Vertical
1100742,914,"BC,WE","OBC,WE",False,,,,
1119058,915,EWS,EWS,False,,,,
1115458,916,BC,OBC,False,,,,
1118740,917,BC,OBC,False,,,,
1109048,918,"BC,WE","OBC,WE",False,,,,
1104534,919,"BC,WE,RG","OBC,WE,RG",False,,,,
1112300,920,"BC,WE","OBC,WE",False,,,,
1101469,921,"GE,WE","GE,WE",False,,,,
1105699,922,"GE,RG","GE,RG",False,,,,
1104781,923,"BC,RG","OBC,RG",False,,,,
1106427,924,"BC,WE","OBC,WE",False,,,,
1108059,925,"GE,NG,RG","GE,NG,RG",False,,,,
1102354,926,BC,OBC,False,,,,
1100601,927,"BC,WE","OBC,WE",False,,,,
1107942,928,GE,GE,False,,,,
1103630,929,"BC,WE","OBC,WE",False,,,,
1101361,930,"GE,RG","GE,RG",False,,,,
1105559,931,"SC,WE","SC,WE",True,POST-3,SC,GE,Vertical
1105341,932,"GE,WE,RG","GE,WE,RG",False,,,,
1110229,933,BC,OBC,False,,,,
1112761,934,BC,OBC,False,,,,
1115492,935,"GE,RG","GE,RG",False,,,,
1100354,936,"BC,WE,RG","OBC,WE,RG",False,,,,
1110153,937,"SC,WE,RG","SC,WE,RG",True,POST-3,SC,GE,Vertical
1101365,938,BC,OBC,False,,,,
1106506,939,"ST,WE","ST,WE",True,POST-3,ST,"GE, WE",Vertical
1114569,940,BC,OBC,False,,,,
1113185,941,"BC,WE","OBC,WE",False,,,,
1100172,942,"GE,WE","GE,WE",False,,,,
1104209,943,"BC,WE","OBC,WE",False,,,,
1106800,944,"EWS,WE","EWS,WE",False,,,,
1111134,945,BC,OBC,False,,,,
1101749,946,MB,MBC,True,POST-19,MBC,GE,Vertical
1104374,947,BC,OBC,False,,,,
1112973,948,BC,OBC,False,,,,
1114828,949,EWS,EWS,False,,,,
1100472,950,"BC,ME","OBC,ME",False,,,,
1107090,951,"MB,WE","MBC,WE",True,POST-12,MBC,"GE, WE",Vertical
1108027,952,EWS,EWS,False,,,,
1112314,953,BC,OBC,False,,,,
1105868,954,"GE,EX","GE,EX",True,POST-13,UR,EX,UR
1110249,955,BC,OBC,False,,,,
1112460,956,"EWS,NG","EWS,NG",False,,,,
1116109,957,BC,OBC,False,,,,
1102170,958,BC,OBC,False,,,,
1104025,959,"GE,WE","GE,WE",False,,,,
1102477,960,BC,OBC,False,,,,
1105617,961,"SC,RG","SC,RG",True,POST-3,SC,GE,Vertical
1102071,962,BC,OBC,False,,,,
1103058,963,"BC,NG","OBC,NG",False,,,,
1118519,964,"ST,WE,RG","ST,WE,RG",True,POST-4,ST,"GE, WE",Vertical
1112388,965,GE,GE,False,,,,
1107599,966,MB,MBC,True,POST-19,MBC,GE,Vertical
1110656,967,BC,OBC,False,,,,
1111213,968,BC,OBC,False,,,,
1112417,969,ST,ST,True,POST-9,ST,GE,Vertical
1108839,970,EWS,EWS,False,,,,
1107864,971,BC,OBC,False,,,,
1111952,972,BC,OBC,False,,,,
1101833,973,BC,OBC,False,,,,
1116494,974,BC,OBC,False,,,,
1112032,975,GE,GE,False,,,,
1106358,976,ST,ST,True,POST-9,ST,GE,Vertical
1109401,977,MB,MBC,True,POST-21,MBC,GE,Vertical
1105393,978,"GE,WE,RG","GE,WE,RG",False,,,,
1118661,979,GE,GE,False,,,,
1105638,980,GE,GE,False,,,,
1111658,981,MB,MBC,True,POST-22,MBC,GE,Vertical
1118786,982,BC,OBC,False,,,,
1104614,983,BC,OBC,False,,,,
1109725,984,"SC,RG","SC,RG",True,POST-4,SC,GE,Vertical
1108293,985,SC,SC,True,POST-4,SC,GE,Vertical
1113193,986,BC,OBC,False,,,,
1116303,987,"MB,WE","MBC,WE",True,POST-17,MBC,"GE, WE",Vertical
1111957,988,GE,GE,False,,,,
1115058,989,EWS,EWS,False,,,,
1103227,990,BC,OBC,False,,,,
1108895,991,"BC,RG","OBC,RG",False,,,,
1114729,992,"EWS,ME,RG","EWS,ME,RG",False,,,,
1103777,993,"GE,WE,ME","GE,WE,ME",False,,,,
1117624,994,"BC,NG,RG","OBC,NG,RG",False,,,,
1108965,995,"GE,WE","GE,WE",False,,,,
1104956,996,"BC,WE,ME","OBC,WE,ME",False,,,,
1106970,997,BC,OBC,False,,,,
1104014,998,GE,GE,False,,,,
1101949,999,"BC,RG","OBC,RG",False,,,,
1105798,1000,"BC,WE","OBC,WE",False,,,,
1104446,1001,"MB,RG","MBC,RG",True,POST-23,MBC,GE,Vertical
1101636,1002,"BC,RG","OBC,RG",False,,,,
1100758,1003,BC,OBC,False,,,,
1117485,1004,"GE,ME,RG","GE,ME,RG",False,,,,
1110974,1005,"BC,WE","OBC,WE",False,,,,
1102226,1006,"BC,WE","OBC,WE",False,,,,
1118178,1007,"BC,EX","OBC,EX",True,POST-17,UR,EX,UR
1106000,1008,"SC,RG","SC,RG",True,POST-5,SC,GE,Vertical
1104583,1009,GE,GE,False,,,,
1104882,1010,MB,MBC,True,POST-23,MBC,GE,Vertical
1101792,1011,"BC,RG","OBC,RG",False,,,,
1108638,1012,BC,OBC,False,,,,
1106562,1013,"BC,WE","OBC,WE",False,,,,
1118105,1014,"MB,RG","MBC,RG",True,POST-23,MBC,GE,Vertical
1114696,1015,GE,GE,False,,,,
1102411,1016,"MB,ME","MBC,ME",True,POST-25,MBC,GE,Vertical
1108446,1017,"EWS,WE","EWS,WE",False,,,,
1107234,1018,"ST,RG","ST,RG",True,POST-9,ST,GE,Vertical
1105624,1019,"GE,WE","GE,WE",False,,,,
1111339,1020,BC,OBC,False,,,,
1105564,1021,GE,GE,False,,,,
1118118,1022,EWS,EWS,False,,,,
1120241,1023,GE,GE,False,,,,
1100933,1024,"EWS,RG","EWS,RG",False,,,,
